num_of_job,num_of_machine,splitmin,algo,avg_percentage_gap,avg_processing_time_ms,count
10,2,3,FCFS,28.18742521607497,0.1285791397094726,30
10,2,3,GA,19.51703072695134,8496.869921684265,30
10,2,3,SA,19.281781684805747,8791.092030207315,30
10,2,4,FCFS,32.57886663078705,0.12792746225992835,30
10,2,4,GA,20.49673477282885,8711.516578992208,30
10,2,4,SA,20.068192340438674,8954.559206962585,30
10,2,5,FCFS,34.09569099093604,0.11986096700032547,30
10,2,5,GA,18.5837689799378,8623.869705200195,30
10,2,5,SA,17.649342713212942,8664.434941609701,30
10,3,3,FCFS,41.003641145234155,0.15577475229899085,30
10,3,3,GA,23.8500135682753,9896.825695037842,30
10,3,3,SA,22.22912358513796,11524.774956703186,30
10,3,4,FCFS,41.74729289226356,0.1584688822428385,30
10,3,4,GA,20.659446155173764,9818.87378692627,30
10,3,4,SA,19.176327475310092,11328.733706474304,30
10,3,5,FCFS,44.449113422380414,0.14983812967936194,30
10,3,5,GA,22.25365311081935,9764.766454696655,30
10,3,5,SA,20.155909937254037,11062.48925526937,30
10,4,3,FCFS,54.53057364903025,0.17281373341878253,30
10,4,3,GA,26.91002581858396,10860.457507769266,30
10,4,3,SA,22.91137817066386,13693.733954429626,30
10,4,4,FCFS,49.121702843852646,0.19574165344238278,30
10,4,4,GA,26.12405219454638,10833.530282974243,30
10,4,4,SA,21.862725987114846,13609.493597348532,30
10,4,5,FCFS,49.476837688970996,0.16388098398844397,30
10,4,5,GA,26.74115658943386,10746.872925758362,30
10,4,5,SA,22.003065650390564,13304.051605860392,30
20,2,3,FCFS,25.972797089061178,0.20987192789713538,30
20,2,3,GA,19.832677211056588,13942.71317323049,30
20,2,3,SA,19.209448081858724,13510.413527488708,30
20,2,4,FCFS,30.744539228850904,0.22749900817871094,30
20,2,4,GA,20.65613836760058,14290.54692586263,30
20,2,4,SA,19.965293217184726,13912.012457847595,30
20,2,5,FCFS,30.275887051086098,0.21406014760335285,30
20,2,5,GA,19.804275888222172,13888.774689038595,30
20,2,5,SA,18.9311961067661,13370.683224995932,30
20,3,3,FCFS,30.909784264827465,0.26423931121826166,30
20,3,3,GA,20.101922704742112,15760.762707392374,30
20,3,3,SA,19.491926720946307,17582.487106323242,30
20,3,4,FCFS,33.43813514768899,0.2560774485270182,30
20,3,4,GA,20.431726303894205,15745.06958325704,30
20,3,4,SA,19.446146808603377,17321.318435668945,30
20,3,5,FCFS,33.58876716653016,0.2731720606486003,30
20,3,5,GA,19.470246721672734,15689.049728711447,30
20,3,5,SA,18.326840227995696,17070.117076237995,30
20,4,3,FCFS,36.33045621802524,0.3229697545369466,30
20,4,3,GA,22.765522247101725,17508.829474449158,30
20,4,3,SA,21.667041783416455,21332.17917283376,30
20,4,4,FCFS,37.01025272489169,0.2968708674112956,30
20,4,4,GA,21.50227838610789,17217.385133107502,30
20,4,4,SA,19.225694273136256,20790.25977452596,30
20,4,5,FCFS,38.67238583815394,0.2917369206746419,30
20,4,5,GA,21.05217587942231,17062.36565907796,30
20,4,5,SA,19.667717435919386,20308.428502082825,30
30,2,3,FCFS,36.95305765069406,0.26288032531738276,30
30,2,3,GA,32.59582832152846,19089.84763622284,30
30,2,3,SA,32.15012072941801,16262.933071454367,30
30,2,4,FCFS,34.171165860449314,0.27086734771728516,30
30,2,4,GA,27.505588821709853,19839.22899564107,30
30,2,4,SA,26.99178776117198,16943.47178141276,30
30,2,5,FCFS,37.039468041723985,0.2833843231201172,30
30,2,5,GA,28.09846957086016,20904.42659854889,30
30,2,5,SA,27.237636562168287,17246.937624613445,30
30,3,3,FCFS,27.862237096577584,0.34522215525309247,30
30,3,3,GA,20.53770950006635,20973.245747884113,30
30,3,3,SA,19.6605248500536,22623.24441274007,30
30,3,4,FCFS,29.27750996911572,0.3660837809244792,30
30,3,4,GA,20.488426198965417,20719.6142911911,30
30,3,4,SA,19.582328150090216,22625.498541196186,30
30,3,5,FCFS,30.91492776884731,0.36621888478597003,30
30,3,5,GA,20.45420827259524,21219.545857111614,30
30,3,5,SA,19.886154882993523,22637.58951028188,30
30,4,3,FCFS,29.499093486862968,0.41654109954833984,30
30,4,3,GA,20.74814126629949,22831.018861134846,30
30,4,3,SA,19.829120848481505,27793.564462661743,30
30,4,4,FCFS,32.5312779616815,0.41790008544921875,30
30,4,4,GA,21.250804427762368,22929.318046569824,30
30,4,4,SA,20.08587442703403,27462.900463740032,30
30,4,5,FCFS,34.470783690178074,0.42977333068847656,30
30,4,5,GA,22.914462433050446,23053.7991921107,30
30,4,5,SA,20.907472869304,27456.748215357464,30
40,2,3,FCFS,38.93830596019189,0.3186225891113281,30
40,2,3,GA,35.437686224995225,23779.965742429096,30
40,2,3,SA,35.282279557005715,19184.58715279897,30
40,2,4,FCFS,40.95354110327957,0.3252267837524414,30
40,2,4,GA,36.15385063433453,24204.969255129497,30
40,2,4,SA,35.75978166216742,19252.46284008026,30
40,2,5,FCFS,43.29743752008176,0.3272851308186849,30
40,2,5,GA,36.17679861428982,23867.78531074524,30
40,2,5,SA,35.63759926834814,19766.174880663555,30
40,3,3,FCFS,33.947108980998316,0.44272740681966144,30
40,3,3,GA,27.78172219072424,26589.361532529194,30
40,3,3,SA,26.946201391942758,26800.23268063863,30
40,3,4,FCFS,34.82725170794963,0.4433155059814453,30
40,3,4,GA,25.596722286396055,28154.541071256,30
40,3,4,SA,24.91033741299729,27195.30861377716,30
40,3,5,FCFS,39.024930926705416,0.4487276077270508,30
40,3,5,GA,26.572446177202153,29126.338243484497,30
40,3,5,SA,25.058956829492242,27503.774825731914,30
40,4,3,FCFS,28.721025829815524,0.5341609319051107,30
40,4,3,GA,21.522611194895713,27795.4003572464,30
40,4,3,SA,20.86413201569347,33662.906630833946,30
40,4,4,FCFS,29.10141605103357,0.5406697591145834,30
40,4,4,GA,20.876633515784704,27976.775654157,30
40,4,4,SA,20.09900626756879,33982.85936514536,30
40,4,5,FCFS,32.0750169421658,0.5267858505249023,30
40,4,5,GA,21.703150791716194,28523.43761920929,30
40,4,5,SA,21.122851547129713,33874.822306632996,30
50,2,3,FCFS,38.809108503520505,0.3511985143025716,30
50,2,3,GA,37.02849246036146,25759.082468350727,30
50,2,3,SA,36.712818305865405,21041.255776087444,30
50,2,4,FCFS,44.32972513647942,0.3813823064168294,30
50,2,4,GA,40.00491886236088,27387.04703648885,30
50,2,4,SA,39.72211260685262,21898.725056648254,30
50,2,5,FCFS,42.22307745512804,0.37961800893147785,30
50,2,5,GA,36.01254925471797,28682.134040196735,30
50,2,5,SA,35.58645294784151,22735.381491978962,30
50,3,3,FCFS,46.733559327128,0.46943028767903644,30
50,3,3,GA,41.85752619122316,31511.699835459392,30
50,3,3,SA,41.264080011009455,28903.235228856403,30
50,3,4,FCFS,39.616597354161804,0.5054632822672526,30
50,3,4,GA,33.40859753750122,34154.943879445396,30
50,3,4,SA,32.585927353853506,30411.20484670003,30
50,3,5,FCFS,45.41204296659214,0.5136648813883463,30
50,3,5,GA,35.07986858712035,35514.50831095377,30
50,3,5,SA,34.64098229179,31178.637893994648,30
50,4,3,FCFS,32.386890159017796,0.5942742029825846,30
50,4,3,GA,25.89929791431131,33284.79761282603,30
50,4,3,SA,25.091756271432892,37982.41150379181,30
50,4,4,FCFS,32.386454119645215,0.6553014119466146,30
50,4,4,GA,23.209374148307234,35348.03477923075,30
50,4,4,SA,22.36728693423905,39261.30244731903,30
50,4,5,FCFS,33.505123495111555,0.648045539855957,30
50,4,5,GA,23.176208643125385,35091.85093243917,30
50,4,5,SA,22.279352769255453,40022.12909062704,30
